pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-013,"general","mcq","In The Curious Case of Benjamin Button, which role reversal makes the romance especially tragic as time passes?","Elowen grows older while Benjamin grows younger","They both age backwards together","Benjamin stays the same age forever","Elowen forgets Benjamin each day",0,,,,"As Elowen ages normally, Benjamin grows younger, pushing their lives out of sync.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-014,"general","mcq","The Curious Case of Benjamin Button has a sound world most often described as which style?","Folk","Opera","Disco","Heavy metal",0,,,,"The show uses a folk-influenced score with actor-musicians.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-015,"general","mcq","Which Olivier Award did John Dagleish win for The Curious Case of Benjamin Button?","Best Actor in a Musical","Best Supporting Actor","Best Director","Best Newcomer",0,,,,"John Dagleish won the Olivier for Best Actor in a Musical for Benjamin Button.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-016,"audio","mcq","Audio (The Curious Case of Benjamin Button): Identify the song from this clip (a distinctive lullaby).","The Kraken's Lullaby","A Little Life","Home","The Tide Is Comin' In",0,,,,"Use a recognisable excerpt from The Kraken's Lullaby.",2026-02-22/bb-audio-001.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-017,"audio","mcq","Audio (The Curious Case of Benjamin Button): Which song is this clip from, where Benjamin longs for freedom and a normal life?","A Little Life","The Kraken's Lullaby","Home","The Pickled Crab (Instrumental)",0,,,,"Use a recognisable excerpt from A Little Life.",2026-02-22/bb-audio-002.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-018,"audio","mcq","Audio (The Curious Case of Benjamin Button): Identify the song from this clip (an energetic folk ensemble number).","Shippin' Out Tomorrow","The Pickled Crab (Instrumental)","Matter of Time I","Time",0,,,,"Use a recognisable excerpt from Shippin' Out Tomorrow.",2026-02-22/bb-audio-003.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-019,"audio","mcq","Audio (The Curious Case of Benjamin Button): Which track is this clip from, featuring a reprise that signals a turning point?","Home (Reprise)","A Little Life","The Kraken's Lullaby","The Tide Is Comin' In",0,,,,"Use a short excerpt from Home (Reprise) if you have that track on your recording.",2026-02-22/bb-audio-004.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-020,"audio","mcq","Audio (The Curious Case of Benjamin Button): Identify the track from this clip (an instrumental cue on the cast recording).","To Be Cast to the Sea (Instrumental)","A Glass Bottle (Instrumental)","The Pickled Crab (Instrumental)","Matter of Time II",0,,,,"To Be Cast to the Sea appears as an instrumental track on the cast recording.",2026-02-22/bb-audio-005.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-021,"audio","mcq","Audio (The Curious Case of Benjamin Button): Which show is this clip from?","The Curious Case of Benjamin Button","Next to Normal","Dear Evan Hansen","Two Strangers (Carry a Cake Across New York)",0,,,,"Use any recognisable clip from the Benjamin Button cast recording.",2026-02-22/bb-audio-006.mp3,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-022,"picture","mcq","Picture (The Curious Case of Benjamin Button): Which show does this poster belong to?","The Curious Case of Benjamin Button","The Great Gatsby","Come From Away","The Time Traveller’s Wife",0,,,,"Use official artwork for The Curious Case of Benjamin Button.",,2026-02-22/bb-image-001.jpg
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-023,"picture","text","Picture (The Curious Case of Benjamin Button): This is a West End publicity photo of Benjamin. What is the actor’s name?",,,,,,,"John Dagleish","[""John Dagleish""]","John Dagleish played Benjamin Button in the West End production.",,2026-02-22/bb-image-002.jpg
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-024,"picture","mcq","Picture (The Curious Case of Benjamin Button): The show’s setting is strongly suggested by this image. Which region is it associated with?","Cornwall","New York","Wales","Manchester",0,,,,"Use a production still that clearly signals the Cornish fishing village setting.",,2026-02-22/bb-image-003.jpg
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-025,"picture","text","Picture (The Curious Case of Benjamin Button): This is a photo of the actor playing Elowen. What is the actor’s name?",,,,,,,"Clare Foster","[""Clare Foster""]","Clare Foster played Elowen in the West End production.",,2026-02-22/bb-image-004.jpg
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-026,"general","mcq","At the 2025 Olivier Awards, which award did The Curious Case of Benjamin Button win in addition to Best New Musical and Best Actor in a Musical?","Outstanding Musical Contribution","Best Lighting Design","Best Sound Design","Best Choreography",0,,,,"The show also won Outstanding Musical Contribution at the 2025 Olivier Awards.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-027,"general","mcq","In The Curious Case of Benjamin Button, what is Elowen’s surname?","Keene","Kearney","Keenan","Keen",0,,,,"Elowen’s full name is Elowen Keene.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-028,"general","mcq","Which of these is a song title from The Curious Case of Benjamin Button?","Rag Ty Yw Tre","Waving Through a Window","American Express","I Miss the Mountains",0,,,,"Rag Ty Yw Tre appears in the show’s song list.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-029,"general","mcq","Which theatre hosted the West End run of The Curious Case of Benjamin Button?","Ambassadors Theatre","Criterion Theatre","Duchess Theatre","Garrick Theatre",0,,,,"The West End production played at the Ambassadors Theatre.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-030,"general","mcq","The show’s Olivier for Outstanding Musical Contribution credited Darren Clark and which other person?","Mark Aspinall","Alex Lacamoire","Nigel Lilley","Tal Rosner",0,,,,"Outstanding Musical Contribution was awarded to Darren Clark and Mark Aspinall.",,
